z_score,DR,3DCR,30DAR,base_slope,soil_porosity,label
-0.5362999999999984,1.9,19.600000000000023,249.70000000000002,35.0,55.0,0
-3.519599999999999,1.4,2.000000000000014,9.200000000000001,45.0,60.0,0
-0.1507000000000014,4.9,20.899999999999977,259.59999999999997,40.0,40.0,0
-3.7482,0.0,0.0,8.6,35.0,55.0,0
0.21210000000000107,15.9,16.000000000000018,234.60000000000002,40.0,40.0,0
-3.0114000000000014,0.0,8.799999999999978,36.9,25.0,45.0,0
1.7351999999999983,22.2,32.99999999999997,241.1,35.0,55.0,0
-3.425400000000001,2.8,2.799999999999994,1.6999999999999997,30.0,50.0,0
-1.7813999999999992,0.0,1.8000000000000143,241.4,30.0,50.0,0
-3.7630000000000003,0.4,0.3999999999999947,0.0,40.0,40.0,0
-3.4403000000000015,0.3,1.1999999999999715,35.5,25.0,45.0,0
-2.6331000000000007,0.1,0.8999999999999929,140.5,35.0,55.0,0
-3.6426000000000003,0.0,0.0,21.799999999999997,30.0,50.0,0
-2.3396999999999997,0.5,13.00000000000001,85.6,40.0,40.0,0
-3.2725999999999984,0.2,3.3000000000000247,42.199999999999996,25.0,45.0,0
-3.025499999999999,0.5,0.5000000000000249,90.5,25.0,45.0,0
-2.4555999999999996,0.0,0.3000000000000142,168.0,30.0,50.0,0
-2.4207999999999994,4.0,8.500000000000012,74.4,30.0,50.0,0
3.7402999999999995,36.9,69.6,84.9,25.0,45.0,0
-0.5105999999999993,10.6,11.100000000000017,230.8,35.0,55.0,0
-3.7592000000000003,0.0,0.1,6.5,30.0,50.0,0
-3.4666,0.0,0.0,43.8,30.0,50.0,0
-0.8340999999999987,1.1,31.10000000000002,136.8,40.0,40.0,0
-3.7922000000000002,0.0,0.0,3.1,45.0,60.0,0
-2.7456000000000014,7.2,7.2999999999999785,11.7,30.0,50.0,0
-0.31560000000000166,6.4,18.699999999999978,240.5,45.0,60.0,0
-3.4043999999999985,0.2,1.0000000000000249,42.400000000000006,25.0,45.0,0
-0.3899999999999997,0.8,19.100000000000012,282.2,35.0,55.0,0
-1.8849000000000011,4.3,7.699999999999975,144.3,45.0,60.0,0
